Label,Value
3082,117.375
2570,324.078
2314,220.509
3338,217.081
2826,104.477
3210,140.156
2698,155.33
2442,175.089
2954,200.204
3146,409.784
2634,212.547
3402,259.195
2890,248.186
2250,263.872
3274,85.8834
3114,294.257
2602,265.888
3370,203.459
2858,243.983
3242,144.084
2730,223.52
2474,146.811
2986,231.353
3178,152.502
2666,141.784
2410,132.734
2922,108.41
2282,182.618
3306,138.621
2538,354.2
3050,297.495
3098,237.924
2586,206.878
3354,91.6344
3226,270.951
2714,182.183
2970,205.223
3162,312.093
2650,201.766
2394,168.641
3418,372.381
2266,392.324
3290,74.9882
2778,112.53
2522,175.532
3034,203.365
3130,404.663
2618,193.778
2362,229.033
3386,228.165
2874,217.042
3258,162.848
2746,280.614
2490,100.91
3002,380.534
3194,178.914
2426,282.016
2298,246.89
3322,183.583
2810,256.961
3066,180.405
3078,169.175
2310,284.544
3334,210.017
2822,127.322
3206,257.919
2438,162.821
2950,532.899
2630,516.492
2374,249.512
3398,131.275
3270,150.001
2758,251.879
2502,100.789
3014,334.141
3110,103.533
2598,124.992
2342,326.27
3366,200.483
2854,201.023
3238,91.9792
2726,376.219
2470,302.767
2982,253.394
2662,214.618
2406,281.445
2918,258.282
3302,57.319
2790,335.357
2534,385.38
3046,224.571
3094,149.523
2582,112.872
2326,293.796
3350,88.2376
2838,521.066
3222,118.702
2966,86.6703
3158,152.722
2390,147.844
3414,155.103
2902,75.728
2262,135.562
3286,93.3349
2774,269.735
2518,275.934
3030,372.44
3126,285.522
2614,242.902
3382,236.946
2870,135.078
2230,427.281
3254,163.006
2742,361.281
2486,191.072
2998,238.667
3190,236.086
2422,297.775
2934,556.657
2294,258.608
3318,210.186
2806,216.26
2550,248.553
3062,204.359
3086,310.856
2574,113.952
2318,187.619
3342,298.367
2830,199.236
3214,224.757
2702,246.842
2446,166.126
2958,518.865
2638,153.184
2382,343.425
3406,225.959
2894,108.072
2254,417.06
3278,153.896
2766,131.373
3022,464.43
3118,128.688
2606,230.268
2350,380.905
3374,249.074
2862,189.578
3246,209.512
2734,162.72
2478,223.136
2990,205.476
3182,249.684
2670,247.626
2414,221.063
2286,327.603
3310,133.678
2798,152.878
2542,298.055
3054,239.552
3102,333.337
2334,151.513
3358,94.8093
2846,124.758
3230,77.7813
2718,264.787
2974,373.11
3166,182.471
2654,93.3095
2398,203.509
2910,245.529
2270,209.431
3294,141.97
2526,240.949
3038,305.03
2622,266.768
3390,142.187
2878,236.967
2238,122.926
3262,75.662
2750,340.786
2494,339.8
3006,199.63
3198,204.874
2686,276.572
2942,142.94
2302,300.657
3326,249.799
2814,225.605
2558,174.032
3070,226.895
3073,172.09
3329,182.814
3201,345.276
2689,152.871
2433,416.754
2945,256.931
2625,171.387
3393,158.78
2881,163.001
2241,159.572
3265,140.496
2753,123.743
3009,196.374
3105,254.332
2337,357.809
2849,155.617
3233,61.1244
2465,205.281
2977,201.024
3169,337.81
2657,190.733
2401,394.6
2913,209.071
2273,207.326
3297,167.989
2785,315.717
2529,303.225
3089,275.978
2577,243.468
2321,637.448
3345,234.21
2833,266.565
3217,213.281
2705,371.756
2449,201.64
3153,235.77
2641,206.755
2385,219.303
2257,238.947
3281,168.589
2513,150.312
3025,425.238
3121,180.873
2609,190.889
2353,234.868
3377,133.186
2865,123.489
3249,314.176
2737,102.736
2481,120.772
2993,399.403
3185,226.798
2673,236.787
2417,254.026
2929,591.68
2289,516.327
3313,143.124
2801,368.376
2545,146.936
3057,91.8437
3081,175.204
2313,183.297
3337,283.524
2825,342.587
3209,208.936
2697,336.774
2441,20.1812
2953,264.008
3145,186.373
2633,164.006
2377,178.472
3401,174.49
2889,100.568
2249,282.042
3273,272.165
2761,200.647
2505,182.123
3017,281.906
3113,388.397
2601,299.093
2345,191.369
3369,137.386
2857,200.719
3241,170.121
2729,134.508
2473,352.531
2985,264.123
3177,267.171
2665,380.538
2409,316.342
2921,126.617
2281,239.034
3305,181.502
2793,295.528
2537,215.141
3049,105.238
3097,160.039
2585,329.453
2329,328.231
3353,107.189
2841,186.263
